Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
183.7213382721,0.0053779244,183.7213382721,0.0017041548,183.7213382721,0.0056414727,183.7213382721,17.5823489072,183.7213382721,-6462.4176510928,183.7213382721,0.1324784143,183.7213382721,4.1016414876
183.7593309879,0.0052718166,183.7593309879,0.0017691401,183.7593309879,0.0055607469,183.7593309879,18.5509561473,183.7593309879,-6461.4490438527,183.7593309879,0.225834476,183.7593309879,3.6907730801
183.7643294334,0.0052372440,183.7643294334,0.0017058257,183.7643294334,0.0055080456,183.7643294334,18.0409771183,183.7643294334,-6461.9590228817,183.7643294334,0.3231887504,183.7643294334,2.9279044817
183.8018939495,0.0050073584,183.8018939495,0.0015247373,183.8018939495,0.0052343541,183.8018939495,16.9354571121,183.8018939495,-6463.0645428879,183.8018939495,0.4224981037,183.8018939495,1.8026916445
183.8128414154,0.0047149956,183.8128414154,0.0011403784,183.8128414154,0.0048509428,183.8128414154,13.5965661760,183.8128414154,-6466.403433824,183.8128414154,0.5216558718,183.8128414154,0.3610755241
183.8316626549,0.0044494912,183.8316626549,0.0008975662,183.8316626549,0.0045391185,183.8316626549,11.4048431347,183.8316626549,-6468.5951568653,183.8316626549,0.618705869,183.8316626549,-1.3083589257
183.8470075130,0.0040536198,183.8470075130,0.0008204135,183.8470075130,0.0041358085,183.8470075130,11.4415611687,183.8470075130,-6468.5584388313,183.8470075130,0.7117743282,183.8470075130,-3.0810436466
183.8774309158,0.0036178461,183.8774309158,0.0004448605,183.8774309158,0.0036450941,183.8774309158,7.0100612747,183.8774309158,-6472.9899387253,183.8774309158,0.7992444993,183.8774309158,-4.7743522584
183.8944044113,0.0029241466,183.8944044113,-0.0002660128,183.8944044113,0.0029362214,183.8944044113,-5.1979521163,183.8944044113,-6485.1979521163,183.8944044113,0.8797345841,183.8944044113,-6.2038435693
183.9237847328,0.001763069,183.9237847328,-0.0011197993,183.9237847328,0.002088627,183.9237847328,-32.4213488107,183.9237847328,-6512.4213488107,183.9237847328,0.9512835863,183.9237847328,-7.205261895
