DDS Data [I]_x,DDS Data [I]_y,DDS Data [Q]_x,DDS Data [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
43.6012368202,0.0866756317,43.6012368202,0.0157424886,43.6012368202,0.0880936494,43.6012368202,10.2941490878,43.6012368202,-1069.7058509122,43.6012368202,-1174.5102534608,43.6012368202,-1.2945398019
43.6619715691,0.0869002852,43.6619715691,0.0032392956,43.6619715691,0.0869606382,43.6619715691,2.1347694952,43.6619715691,-1077.8652305048,43.6619715691,-1166.0094232344,43.6619715691,0.6293465298
43.6619715691,0.0928404349,43.6619715691,-0.0119585214,43.6619715691,0.0936074387,43.6619715691,-7.3396982777,43.6619715691,-1087.3396982777,43.6619715691,-1157.9289897357,43.6619715691,1.9551731387
43.6619715691,0.0951529566,43.6619715691,-0.0267530347,43.6619715691,0.0988423493,43.6619715691,-15.7037638985,43.6619715691,-1095.7037638985,43.6619715691,-1150.3481282810,43.6619715691,2.6253720279
43.7217438221,0.0903131347,43.7217438221,-0.0364327965,43.7217438221,0.09738486,43.7217438221,-21.9694090628,43.7217438221,-1101.9694090628,43.7217438221,-1143.3342310616,43.7217438221,2.7118697684
43.7217438221,0.0677682989,43.7217438221,-0.0302562723,43.7217438221,0.0742157958,43.7217438221,-24.0591593847,43.7217438221,-1104.0591593847,43.7217438221,-1136.9380627874,43.7217438221,2.5110138787
43.7217438221,0.088376117,43.7217438221,-0.0625703679,43.7217438221,0.1082838353,43.7217438221,-35.2985270419,43.7217438221,-1115.2985270419,43.7217438221,-1131.2378990791,43.7217438221,2.2568872579
43.7833206654,0.1039473706,43.7833206654,-0.1277470482,43.7833206654,0.1646947606,43.7833206654,-50.8648593273,43.7833206654,-1130.8648593273,43.7833206654,-1126.2972635733,43.7833206654,2.1937324555
43.7833206654,0.0774363776,43.7833206654,-0.1200891902,43.7833206654,0.1428908891,43.7833206654,-57.1851107248,43.7833206654,-1137.1851107248,43.7833206654,-1122.1548295811,43.7833206654,2.4674346452
43.7833206654,0.0522217941,43.7833206654,-0.0996823801,43.7833206654,0.1125330737,43.7833206654,-62.3507709897,43.7833206654,-1142.3507709897,43.7833206654,-1118.8352796482,43.7833206654,3.1045148874
43.8449101448,0.0328726356,43.8449101448,-0.1032102201,43.8449101448,0.1083187874,43.8449101448,-72.3332318440,43.8449101448,-1152.3332318440,43.8449101448,-1116.382914249,43.8449101448,4.0173373721
43.8449101448,0.0136555577,43.8449101448,-0.1185681721,43.8449101448,0.1193519405,43.8449101448,-83.4301613966,43.8449101448,-1163.4301613966,43.8449101448,-1114.8236958207,43.8449101448,4.9798996481
43.8449101448,-0.0098149136,43.8449101448,-0.1195695970,43.8449101448,0.1199717511,43.8449101448,-94.6926240024,43.8449101448,-1174.6926240024,43.8449101448,-1114.1611789077,43.8449101448,5.7461908938
43.9064393044,-0.026507663,43.9064393044,-0.1086895405,43.9064393044,0.1118752538,43.9064393044,-103.705975336,43.9064393044,-1183.705975336,43.9064393044,-1114.3950612502,43.9064393044,6.0722318753
43.9064393044,-0.0398195889,43.9064393044,-0.1016626271,43.9064393044,0.1091828256,43.9064393044,-111.3894664885,43.9064393044,-1191.3894664885,43.9064393044,-1115.5084640102,43.9064393044,5.7688201691
43.9064393044,-0.0540210279,43.9064393044,-0.0976513147,43.9064393044,0.1115977183,43.9064393044,-118.9515126090,43.9064393044,-1198.9515126090,43.9064393044,-1117.4749630424,43.9064393044,4.7717444250
43.9590363503,-0.065296239,43.9590363503,-0.0849870505,43.9590363503,0.1071746125,43.9590363503,-127.5353644628,43.9590363503,-1207.5353644628,43.9590363503,-1120.2659325072,43.9590363503,3.1241843385
43.9590363503,-0.0713647129,43.9590363503,-0.0723326732,43.9590363503,0.1016117014,43.9590363503,-134.6140556161,43.9590363503,-1214.6140556161,43.9590363503,-1123.8454912279,43.9590363503,1.0537396481
43.9590363503,-0.0647826647,43.9590363503,-0.0586835541,43.9590363503,0.0874102578,43.9590363503,-137.8280566317,43.9590363503,-1217.8280566317,43.9590363503,-1128.1629974983,43.9590363503,-1.1933760905
44.0215008259,-0.0610067451,44.0215008259,-0.050944214,44.0215008259,0.079480412,44.0215008259,-140.136136601,44.0215008259,-1220.136136601,44.0215008259,-1133.1580354417,44.0215008259,-3.3627177948
44.0215008259,-0.0676908729,44.0215008259,-0.047603644,44.0215008259,0.0827536174,44.0215008259,-144.8831752316,44.0215008259,-1224.8831752316,44.0215008259,-1138.7813947678,44.0215008259,-5.0660116448
