Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
92.8692381382,-0.0014231803,92.8692381382,0.0003003453,92.8692381382,0.0014545273,92.8692381382,168.0832662788,92.8692381382,-5591.9167337212,92.8692381382,0.2774775044,92.8692381382,-9.7618219772
92.9445021152,-0.0013209849,92.9445021152,0.0000933178,92.9445021152,0.0013242769,92.9445021152,175.9591897044,92.9445021152,-5584.0408102956,92.9445021152,0.3689523242,92.9445021152,-5.9450637872
92.9902215004,-0.0015054977,92.9902215004,0.00019481,92.9902215004,0.0015180495,92.9902215004,172.6269496495,92.9902215004,-5587.3730503505,92.9902215004,0.4081246451,92.9902215004,2.1719184314
93.0357835293,-0.0017370698,93.0357835293,0.0000273713,93.0357835293,0.0017372854,93.0357835293,179.0972550788,93.0357835293,-5580.9027449212,93.0357835293,0.3714608685,93.0357835293,11.8016238147
93.0964269638,-0.0015229393,93.0964269638,-0.0002844137,93.0964269638,0.0015492693,93.0964269638,-169.4216907526,93.0964269638,-5569.4216907526,93.0964269638,0.2477573318,93.0964269638,18.5044014453
93.1421282291,-0.0014297793,93.1421282291,-0.0002250393,93.1421282291,0.0014473809,93.1421282291,-171.0553432387,93.1421282291,-5571.0553432387,93.1421282291,0.0410675899,93.1421282291,18.318201707
93.1875751019,-0.0014483026,93.1875751019,-0.0001310611,93.1875751019,0.0014542206,93.1875751019,-174.8292225299,93.1875751019,-5574.8292225299,93.1875751019,-0.2277161092,93.1875751019,10.8812473897
93.2484948635,-0.0014270136,93.2484948635,-0.0000857854,93.2484948635,0.0014295898,93.2484948635,-176.5597843046,93.2484948635,-5576.5597843046,93.2484948635,-0.5249530774,93.2484948635,-0.5285157257
93.2776713371,-0.0013118893,93.2776713371,-0.0001316995,93.2776713371,0.0013184833,93.2776713371,-174.2673294754,93.2776713371,-5574.2673294754,93.2776713371,-0.8101462874,93.2776713371,-10.8163045971
93.338539362,-0.0013845032,93.338539362,-0.0001907561,93.338539362,0.0013975825,93.338539362,-172.1552103123,93.338539362,-5572.1552103123,93.338539362,-1.0418864354,93.338539362,-15.9246249918
93.3837537766,-0.0014611826,93.3837537766,-0.0002686774,93.3837537766,0.0014856791,93.3837537766,-169.5810262791,93.3837537766,-5569.5810262791,93.3837537766,-1.1863031426,93.3837537766,-14.6068422505
93.4442372322,-0.0016620449,93.4442372322,-0.0001370078,93.4442372322,0.0016676824,93.4442372322,-175.287574926,93.4442372322,-5575.287574926,93.4442372322,-1.2203524930,93.4442372322,-8.8654018431
93.4893023968,-0.0017874139,93.4893023968,-0.0001152115,93.4893023968,0.0017911232,93.4893023968,-176.3119824005,93.4893023968,-5576.3119824005,93.4893023968,-1.1373631991,93.4893023968,-1.8544726109
93.5195443630,-0.0015658269,93.5195443630,0.0002585131,93.5195443630,0.0015870233,93.5195443630,170.6252118633,93.5195443630,-5589.3747881367,93.5195443630,-0.945831469,93.5195443630,3.0863277009
93.5941240788,-0.0012732196,93.5941240788,0.0001835261,93.5941240788,0.0012863786,93.5941240788,171.7976915144,93.5941240788,-5588.2023084856,93.5941240788,-0.6684582159,93.5941240788,5.1917438149
93.6397888660,-0.0014506055,93.6397888660,0.0001900606,93.6397888660,0.0014630035,93.6397888660,172.5355382199,93.6397888660,-5587.4644617801,93.6397888660,-0.3369381991,93.6397888660,4.9070618864
93.6700053215,-0.0012246469,93.6700053215,0.0005092487,93.6700053215,0.0013263085,93.6700053215,157.4208440721,93.6700053215,-5602.5791559279,93.6700053215,0.0126309491,93.6700053215,3.1101303775
93.7449157238,-0.0008357040,93.7449157238,0.0004520971,93.7449157238,0.0009501542,93.7449157238,151.5876082947,93.7449157238,-5608.4123917053,93.7449157238,0.3433078452,93.7449157238,1.5020932544
93.790324688,-0.0005248753,93.790324688,0.0001197534,93.790324688,0.0005383632,93.790324688,167.1476230089,93.790324688,-5592.8523769911,93.790324688,0.6196480687,93.790324688,1.5124967176
93.8352994919,-0.0005929224,93.8352994919,-0.0002141038,93.8352994919,0.0006303946,93.8352994919,-160.1453920685,93.8352994919,-5560.1453920685,93.8352994919,0.8137611448,93.8352994919,3.4738652962
93.895226717,-0.0007433423,93.895226717,-0.0004224287,93.895226717,0.0008549876,93.895226717,-150.3911727636,93.895226717,-5550.3911727636,93.895226717,0.9093789881,93.895226717,5.6537185104
93.9401915073,-0.0009974683,93.9401915073,-0.0006003763,93.9401915073,0.0011642142,93.9401915073,-148.9562596402,93.9401915073,-5548.9562596402,93.9401915073,0.9055151588,93.9401915073,6.5909501588
93.9852395058,-0.0014855136,93.9852395058,-0.0004779731,93.9852395058,0.0015605156,93.9852395058,-162.1641029562,93.9852395058,-5562.1641029562,93.9852395058,0.8145481187,93.9852395058,4.6821499329
94.0450279713,-0.0018174128,94.0450279713,-0.0002683596,94.0450279713,0.0018371189,94.0450279713,-171.6003890015,94.0450279713,-5571.6003890015,94.0450279713,0.660379195,94.0450279713,-0.2494889051
94.0900030136,-0.0017731738,94.0900030136,0.0001185180,94.0900030136,0.0017771302,94.0900030136,176.1760677711,94.0900030136,-5583.8239322289,94.0900030136,0.4741051466,94.0900030136,-7.2932019032
94.1347937584,-0.0016828552,94.1347937584,0.0002864706,94.1347937584,0.0017070639,94.1347937584,170.3392081149,94.1347937584,-5589.6607918851,94.1347937584,0.2885633890,94.1347937584,-13.7699557458
94.1946220398,-0.0015249974,94.1946220398,0.0003839978,94.1946220398,0.0015726002,94.1946220398,165.8666097970,94.1946220398,-5594.133390203,94.1946220398,0.1328210274,94.1946220398,-16.5435826227
94.2397305965,-0.0013033785,94.2397305965,0.0003437229,94.2397305965,0.0013479396,94.2397305965,165.2264888734,94.2397305965,-5594.7735111266,94.2397305965,0.0270453690,94.2397305965,-13.3921385731
94.2851252556,-0.001164055,94.2851252556,0.0003128428,94.2851252556,0.0012053608,94.2851252556,164.9570626474,94.2851252556,-5595.0429373526,94.2851252556,-0.0207252058,94.2851252556,-4.6847011039
94.3450114727,-0.0011096114,94.3450114727,0.0002777603,94.3450114727,0.001143848,94.3450114727,165.9463879568,94.3450114727,-5594.0536120432,94.3450114727,-0.0151214115,94.3450114727,6.4712992731
94.3905365467,-0.0011323492,94.3905365467,0.0001869378,94.3905365467,0.0011476761,94.3905365467,170.6256816437,94.3905365467,-5589.3743183563,94.3905365467,0.0280981560,94.3905365467,15.6221106443
94.4356782436,-0.001087604,94.4356782436,0.0002324083,94.4356782436,0.0011121583,94.4356782436,167.9379727818,94.4356782436,-5592.0620272182,94.4356782436,0.0867613592,94.4356782436,18.8278741614
94.4960110188,-0.0011452753,94.4960110188,0.0003018006,94.4960110188,0.0011843729,94.4960110188,165.2371474583,94.4960110188,-5594.7628525417,94.4960110188,0.1375851018,94.4960110188,15.2268617055
94.5262525082,-0.0011074192,94.5262525082,0.0002532519,94.5262525082,0.0011360078,94.5262525082,167.1187289429,94.5262525082,-5592.8812710571,94.5262525082,0.1606041608,94.5262525082,7.1218633493
94.5865314007,-0.0014070037,94.5865314007,0.0003867321,94.5865314007,0.0014591851,94.5865314007,164.6310906940,94.5865314007,-5595.368909306,94.5865314007,0.1451427903,94.5865314007,-1.8085738336
94.6474137306,-0.0017093786,94.6474137306,0.0001436519,94.6474137306,0.0017154041,94.6474137306,175.196293231,94.6474137306,-5584.8037067690,94.6474137306,0.0920106963,94.6474137306,-7.7961219146
94.6774764061,-0.0017327409,94.6774764061,-0.0002243577,94.6774764061,0.0017472056,94.6774764061,-172.62231048,94.6774764061,-5572.62231048,94.6774764061,0.0119688544,94.6774764061,-9.3821587776
