Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
238.6658558846,0.0013003525,238.6658558846,0.0017220063,238.6658558846,0.0021578281,238.6658558846,52.9421582613,238.6658558846,-1027.0578417387,238.6658558846,0.0939488559,238.6658558846,-1.1162092118
238.7116146088,0.0011169192,238.7116146088,0.0021664105,238.7116146088,0.0024373845,238.7116146088,62.7260821152,238.7116146088,-1017.2739178848,238.7116146088,0.1357936532,238.7116146088,-0.8341849672
238.7564911842,0.0016991951,238.7564911842,0.0027821307,238.7564911842,0.003259987,238.7564911842,58.5853703085,238.7564911842,-1021.4146296915,238.7564911842,0.1682568185,238.7564911842,-0.113784689
238.8166916370,0.0025174219,238.8166916370,0.0022201617,238.8166916370,0.0033565653,238.8166916370,41.4096765409,238.8166916370,-1038.5903234591,238.8166916370,0.1906964464,238.8166916370,0.2008468079
238.8623065948,0.0020717910,238.8623065948,0.0012116321,238.8623065948,0.0024000772,238.8623065948,30.3200998014,238.8623065948,-1049.6799001986,238.8623065948,0.2037763763,238.8623065948,-0.145005181
238.9077804089,0.0010657545,238.9077804089,0.0014176442,238.9077804089,0.0017735692,238.9077804089,53.0649401076,238.9077804089,-1026.9350598924,238.9077804089,0.2089925359,238.9077804089,-0.2236365140
238.9676668644,0.0010290654,238.9676668644,0.0024893954,238.9676668644,0.0026937085,238.9676668644,67.5407938896,238.9676668644,-1012.4592061104,238.9676668644,0.210259792,238.9676668644,-0.1161236112
239.0139884949,0.0019212762,239.0139884949,0.0024983516,239.0139884949,0.0031516762,239.0139884949,52.4390838665,239.0139884949,-1027.5609161335,239.0139884949,0.2113160815,239.0139884949,-0.2294858281
239.0579950809,0.0020681258,239.0579950809,0.0017688503,239.0579950809,0.0027213922,239.0579950809,40.5400870484,239.0579950809,-1039.4599129516,239.0579950809,0.2154387082,239.0579950809,-0.0039491902
239.1183528900,0.001653391,239.1183528900,0.0014296205,239.1183528900,0.0021857531,239.1183528900,40.8486491996,239.1183528900,-1039.1513508004,239.1183528900,0.2230321348,239.1183528900,0.6545587932
239.1632254124,0.0012190255,239.1632254124,0.0017890234,239.1632254124,0.0021648621,239.1632254124,55.72981089,239.1632254124,-1024.2701891100,239.1632254124,0.2331826033,239.1632254124,1.4000511492
239.2082455158,0.0013855256,239.2082455158,0.002019821,239.2082455158,0.0024493586,239.2082455158,55.5512592319,239.2082455158,-1024.4487407681,239.2082455158,0.2437335246,239.2082455158,1.1060865662
239.2682745457,0.0016509922,239.2682745457,0.0020194895,239.2682745457,0.0026084695,239.2682745457,50.7329887437,239.2682745457,-1029.2670112563,239.2682745457,0.2517228249,239.2682745457,-0.1268578256
239.313608408,0.0017478096,239.313608408,0.0018457987,239.313608408,0.0025420093,239.313608408,46.5619315021,239.313608408,-1033.4380684979,239.313608408,0.2541308964,239.313608408,-1.3881437811
239.343988657,0.0015375712,239.343988657,0.0018172541,239.343988657,0.0023804490,239.343988657,49.7655767266,239.343988657,-1030.2344232734,239.343988657,0.2479362362,239.343988657,-1.6540171956
239.419244051,0.0016453422,239.419244051,0.0014792481,239.419244051,0.0022125384,239.419244051,41.9571870466,239.419244051,-1038.0428129534,239.419244051,0.2319803113,239.419244051,-1.2414158339
239.4640290737,0.0013717923,239.4640290737,0.0015089363,239.4640290737,0.0020392898,239.4640290737,47.7256458544,239.4640290737,-1032.2743541456,239.4640290737,0.2061391842,239.4640290737,-0.2753365716
239.5088782310,0.0012250314,239.5088782310,0.0015161466,239.5088782310,0.0019492056,239.5088782310,51.0621329099,239.5088782310,-1028.9378670901,239.5088782310,0.1719513726,239.5088782310,0.4436278674
239.5693519115,0.0012542771,239.5693519115,0.0015102630,239.5693519115,0.0019631876,239.5693519115,50.2902864396,239.5693519115,-1029.7097135604,239.5693519115,0.1309813030,239.5693519115,0.5975245383
239.5993428230,0.0015372493,239.5993428230,0.0014876379,239.5993428230,0.0021392059,239.5993428230,44.0603712849,239.5993428230,-1035.9396287151,239.5993428230,0.0859391254,239.5993428230,0.3764022827
239.6599159241,0.0013451987,239.6599159241,0.0012990002,239.6599159241,0.0018700164,239.6599159241,43.9990507761,239.6599159241,-1036.0009492239,239.6599159241,0.0393419944,239.6599159241,0.4057469659
239.7201690674,0.0012702418,239.7201690674,0.0019766916,239.7201690674,0.0023496433,239.7201690674,57.2747942388,239.7201690674,-1022.7252057612,239.7201690674,-0.0054419282,239.7201690674,1.0507218244
239.7644255161,0.0016393367,239.7644255161,0.0020254522,239.7644255161,0.0026057401,239.7644255161,51.0143914615,239.7644255161,-1028.9856085385,239.7644255161,-0.0467047713,239.7644255161,1.1675411298
239.7942914963,0.0015642956,239.7942914963,0.0021005849,239.7942914963,0.0026190605,239.7942914963,53.3251186732,239.7942914963,-1026.6748813268,239.7942914963,-0.0827909357,239.7942914963,0.7632186280
239.8694939613,0.0010197658,239.8694939613,0.0017646794,239.8694939613,0.0020381403,239.8694939613,59.9774149338,239.8694939613,-1020.0225850662,239.8694939613,-0.11614988,239.8694939613,0.1354133256
239.9143610001,0.0016390902,239.9143610001,0.0013989488,239.9143610001,0.0021549186,239.9143610001,40.4804595987,239.9143610001,-1039.5195404013,239.9143610001,-0.1474405568,239.9143610001,-1.1069195606
239.960205555,0.0021430685,239.960205555,0.0019225891,239.960205555,0.0028790782,239.960205555,41.8959076471,239.960205555,-1038.1040923529,239.960205555,-0.1760649587,239.960205555,-1.8856431370
240.0200631618,0.0017629542,240.0200631618,0.0024674836,240.0200631618,0.0030325704,240.0200631618,54.4551587899,240.0200631618,-1025.5448412101,240.0200631618,-0.2015408326,240.0200631618,-1.8120124964
240.0654051304,0.0009350981,240.0654051304,0.0022957531,240.0654051304,0.0024788890,240.0654051304,67.8381210542,240.0654051304,-1012.1618789458,240.0654051304,-0.2222430451,240.0654051304,-0.9234434694
240.1107716560,0.0011799764,240.1107716560,0.0012197162,240.1107716560,0.0016970715,240.1107716560,45.9487534159,240.1107716560,-1034.0512465841,240.1107716560,-0.2376783083,240.1107716560,-0.4038162499
240.1575241089,0.0021551941,240.1575241089,0.0013876944,240.1575241089,0.0025633099,240.1575241089,32.7768250991,240.1575241089,-1047.2231749009,240.1575241089,-0.2465944992,240.1575241089,0.0435150343
240.2166469097,0.0023256159,240.2166469097,0.0023624439,240.2166469097,0.0033150612,240.2166469097,45.4500891118,240.2166469097,-1034.5499108882,240.2166469097,-0.2491001441,240.2166469097,0.8820129481
240.2614212036,0.0013936433,240.2614212036,0.0025417006,240.2614212036,0.0028987038,240.2614212036,61.2635399658,240.2614212036,-1018.7364600342,240.2614212036,-0.2450479682,240.2614212036,1.6948593869
240.3223717213,0.0010501903,240.3223717213,0.0020011394,240.3223717213,0.0022599687,240.3223717213,62.3096838131,240.3223717213,-1017.6903161869,240.3223717213,-0.2351264101,240.3223717213,1.8208055619
240.3679921627,0.0014107183,240.3679921627,0.0016576069,240.3679921627,0.0021766458,240.3679921627,49.6003170525,240.3679921627,-1030.3996829475,240.3679921627,-0.2197219733,240.3679921627,1.1408913355
240.4129569530,0.0017232179,240.4129569530,0.001878461,240.4129569530,0.0025491362,240.4129569530,47.4680906654,240.4129569530,-1032.5319093346,240.4129569530,-0.2012914538,240.4129569530,0.4374102686
240.4578621387,0.0015460485,240.4578621387,0.0019830071,240.4578621387,0.0025144747,240.4578621387,52.0582931235,240.4578621387,-1027.9417068765,240.4578621387,-0.1814242231,240.4578621387,0.044589511
240.5181849003,0.0014573696,240.5181849003,0.0020025356,240.5181849003,0.0024767065,240.5181849003,53.9542901578,240.5181849003,-1026.0457098422,240.5181849003,-0.1618595109,240.5181849003,-0.3858790017
240.5631523132,0.0014149995,240.5631523132,0.0015753283,240.5631523132,0.0021175181,240.5631523132,48.0690197238,240.5631523132,-1031.9309802762,240.5631523132,-0.1429349173,240.5631523132,-1.2419635775
240.5941405296,0.0014569376,240.5941405296,0.0015933550,240.5941405296,0.0021590385,240.5941405296,47.5607167627,240.5941405296,-1032.4392832373,240.5941405296,-0.1245838633,240.5941405296,-2.0453893154
240.6681866646,0.0010918423,240.6681866646,0.0018797261,240.6681866646,0.0021738191,240.6681866646,59.84976047,240.6681866646,-1020.1502395300,240.6681866646,-0.1060946378,240.6681866646,-1.7981940763
240.7133226395,0.0014112308,240.7133226395,0.0017739495,240.7133226395,0.0022668192,240.7133226395,51.4966838558,240.7133226395,-1028.5033161442,240.7133226395,-0.0842770722,240.7133226395,-0.8773149015
240.7581722736,0.00163615,240.7581722736,0.0019194335,240.7581722736,0.0025221442,240.7581722736,49.5552967914,240.7581722736,-1030.4447032086,240.7581722736,-0.057461333,240.7581722736,0.6175309155
240.8182089329,0.0013982325,240.8182089329,0.0018609183,240.8182089329,0.002327675,240.8182089329,53.0800104361,240.8182089329,-1026.9199895639,240.8182089329,-0.0249529515,240.8182089329,1.9891474894
240.8482396603,0.00163371,240.8482396603,0.00205759,240.8482396603,0.0026272961,240.8482396603,51.5507056224,240.8482396603,-1028.4492943776,240.8482396603,0.0129771238,240.8482396603,2.1794217623
240.9085350037,0.0015395535,240.9085350037,0.0018561293,240.9085350037,0.0024115225,240.9085350037,50.3262277720,240.9085350037,-1029.673772228,240.9085350037,0.0538376079,240.9085350037,1.0858376812
240.9681801796,0.0017979541,240.9681801796,0.0016995778,240.9681801796,0.0024741066,240.9681801796,43.3888457154,240.9681801796,-1036.6111542846,240.9681801796,0.0944526802,240.9681801796,-0.6494328673
241.0126821995,0.0011608779,241.0126821995,0.0016977977,241.0126821995,0.002056734,241.0126821995,55.6374305230,241.0126821995,-1024.362569477,241.0126821995,0.1302878616,241.0126821995,-1.3773053479
241.0726928711,0.0010816134,241.0726928711,0.0022549643,241.0726928711,0.0025009501,241.0726928711,64.3748866138,241.0726928711,-1015.6251133862,241.0726928711,0.1589116741,241.0726928711,-0.7883726924
