Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
462.3731343746,0.0035256925,462.3731343746,0.0000810313,462.3731343746,0.0035266236,462.3731343746,1.3166025939,462.3731343746,-1078.6833974061,462.3731343746,-0.1516745834,462.3731343746,-1.1470168417
462.4186103344,0.0031247752,462.4186103344,-0.0003035813,462.4186103344,0.0031394875,462.4186103344,-5.5490427435,462.4186103344,-1085.5490427435,462.4186103344,-0.1786393769,462.4186103344,0.2158912762
462.4786336422,0.0023308168,462.4786336422,-0.0000631295,462.4786336422,0.0023316716,462.4786336422,-1.5514604067,462.4786336422,-1081.5514604067,462.4786336422,-0.1895596101,462.4786336422,1.9107394229
462.5086059570,0.0021457913,462.5086059570,-0.0000336235,462.5086059570,0.0021460547,462.5086059570,-0.8977235223,462.5086059570,-1080.8977235223,462.5086059570,-0.1857489447,462.5086059570,2.4233808647
462.5542271137,0.0025370819,462.5542271137,0.0001362923,462.5542271137,0.0025407401,462.5542271137,3.0749801729,462.5542271137,-1076.9250198271,462.5542271137,-0.1690907632,462.5542271137,1.3202301023
462.6297414303,0.0023647864,462.6297414303,0.000496345,462.6297414303,0.0024163139,462.6297414303,11.853741685,462.6297414303,-1068.1462583150,462.6297414303,-0.1430800669,462.6297414303,-0.467765992
462.6750049591,0.0025951570,462.6750049591,0.0003011460,462.6750049591,0.0026125713,462.6750049591,6.6190867695,462.6750049591,-1073.3809132305,462.6750049591,-0.1101891812,462.6750049591,-1.899843068
462.7199141979,0.0025696782,462.7199141979,0.000547159,462.7199141979,0.0026272855,462.7199141979,12.0204144127,462.7199141979,-1067.9795855873,462.7199141979,-0.0741364249,462.7199141979,-1.6490026373
462.7800238132,0.0024244803,462.7800238132,0.0003141209,462.7800238132,0.0024447447,462.7800238132,7.3822420919,462.7800238132,-1072.6177579081,462.7800238132,-0.0385533433,462.7800238132,-0.3875967202
462.8243656158,0.0025932299,462.8243656158,0.0004950861,462.8243656158,0.0026400666,462.8243656158,10.8085493747,462.8243656158,-1069.1914506253,462.8243656158,-0.0070604809,462.8243656158,0.8568006066
462.8690488338,0.0025436812,462.8690488338,0.0002492608,462.8690488338,0.0025558648,462.8690488338,5.5966694055,462.8690488338,-1074.4033305945,462.8690488338,0.0167944744,462.8690488338,0.6538169965
